home_team,away_team,home_score,away_score,both_teams_scored
London Ágyúk,Aston Oroszlán,0,1,False
Brentford,Crystal Palace,1,1,True
Tottenham,Vörös Ördögök,3,0,False
London Ágyúk,Liverpool,1,1,True
Brentford,Brighton,1,0,False
Manchester Kék,Wolverhampton,6,1,True
West Ham,Everton,2,2,True
Chelsea,Aston Oroszlán,2,1,True
Fulham,Newcastle,1,2,True
Nottingham,Crystal Palace,3,0,False
Crystal Palace,Manchester Kék,1,2,True
Vörös Ördögök,Brentford,3,1,True
Everton,London Ágyúk,2,0,False
Newcastle,Aston Oroszlán,3,1,True
Fulham,Tottenham,1,0,False
Brighton,Nottingham,0,5,False
Liverpool,Chelsea,2,1,True
Wolverhampton,West Ham,0,0,False
Chelsea,Everton,2,2,True
Nottingham,Vörös Ördögök,1,2,True
West Ham,Crystal Palace,1,0,False
Tottenham,Newcastle,1,0,False
Aston Oroszlán,Liverpool,0,1,False
Manchester Kék,Brighton,0,1,False
Brentford,Fulham,1,1,True
London Ágyúk,Wolverhampton,4,0,False
Everton,Aston Oroszlán,1,2,True
Tottenham,Brentford,0,0,False
Fulham,Nottingham,1,0,False
Crystal Palace,London Ágyúk,1,1,True
Wolverhampton,Chelsea,1,4,True
Brighton,West Ham,2,1,True
Newcastle,Liverpool,3,3,True
Vörös Ördögök,Manchester Kék,2,1,True
Chelsea,Crystal Palace,3,0,False
London Ágyúk,Brighton,3,2,True
Aston Oroszlán,Wolverhampton,1,3,True
Brentford,Newcastle,1,1,True
Manchester Kék,Fulham,6,1,True
Nottingham,Tottenham,1,3,True
Liverpool,Everton,2,0,False
West Ham,Vörös Ördögök,0,3,False
Wolverhampton,Liverpool,0,2,False
Crystal Palace,Aston Oroszlán,0,2,False
Brentford,Nottingham,2,0,False
Fulham,West Ham,2,0,False
Vörös Ördögök,London Ágyúk,2,3,True
Newcastle,Everton,3,1,True
Tottenham,Manchester Kék,2,1,True
Brighton,Chelsea,2,0,False
West Ham,Tottenham,1,1,True
Chelsea,Vörös Ördögök,0,0,False
Manchester Kék,Brentford,2,0,False
Nottingham,Newcastle,1,2,True
Everton,Wolverhampton,5,0,False
London Ágyúk,Fulham,3,1,True
Liverpool,Crystal Palace,1,1,True
Aston Oroszlán,Brighton,0,0,False
Newcastle,Wolverhampton,1,0,False
Vörös Ördögök,Aston Oroszlán,2,0,False
Brighton,Liverpool,0,3,False
Nottingham,Manchester Kék,0,2,False
Brentford,West Ham,0,0,False
Fulham,Chelsea,3,1,True
Crystal Palace,Everton,0,2,False
Tottenham,London Ágyúk,1,3,True
Manchester Kék,Newcastle,1,2,True
London Ágyúk,Brentford,4,1,True
Everton,Brighton,3,0,False
Wolverhampton,Crystal Palace,0,0,False
Chelsea,Tottenham,1,0,False
West Ham,Nottingham,0,0,False
Aston Oroszlán,Fulham,2,1,True
Liverpool,Vörös Ördögök,1,2,True
Brighton,Wolverhampton,2,1,True
Nottingham,London Ágyúk,0,2,False
Newcastle,Crystal Palace,0,5,False
Vörös Ördögök,Everton,2,0,False
Tottenham,Aston Oroszlán,1,0,False
Manchester Kék,West Ham,1,0,False
Fulham,Liverpool,1,2,True
Brentford,Chelsea,1,1,True
London Ágyúk,Manchester Kék,4,2,True
Chelsea,Nottingham,1,0,False
West Ham,Newcastle,2,2,True
Aston Oroszlán,Brentford,1,1,True
Wolverhampton,Vörös Ördögök,0,1,False
Liverpool,Tottenham,1,2,True
Crystal Palace,Brighton,1,0,False
Everton,Fulham,1,0,False
Tottenham,Everton,2,0,False
Vörös Ördögök,Crystal Palace,1,1,True
Fulham,Wolverhampton,3,0,False
West Ham,London Ágyúk,4,0,False
Brentford,Liverpool,0,1,False
Newcastle,Brighton,2,1,True
Manchester Kék,Chelsea,1,2,True
Nottingham,Aston Oroszlán,0,0,False
Everton,Brentford,1,1,True
London Ágyúk,Newcastle,2,1,True
Chelsea,West Ham,2,0,False
Brighton,Vörös Ördögök,1,4,True
Aston Oroszlán,Manchester Kék,0,2,False
Crystal Palace,Fulham,1,2,True
Liverpool,Nottingham,2,1,True
Wolverhampton,Tottenham,1,2,True
West Ham,Aston Oroszlán,2,0,False
Newcastle,Vörös Ördögök,0,4,False
Nottingham,Everton,0,2,False
Tottenham,Crystal Palace,1,1,True
London Ágyúk,Chelsea,2,1,True
Fulham,Brighton,0,0,False
Brentford,Wolverhampton,2,1,True
Manchester Kék,Liverpool,1,1,True
Brighton,Tottenham,1,2,True
Everton,Manchester Kék,2,0,False
Wolverhampton,Nottingham,3,2,True
Liverpool,West Ham,0,0,False
Vörös Ördögök,Fulham,3,0,False
Chelsea,Newcastle,2,1,True
Aston Oroszlán,London Ágyúk,1,1,True
Crystal Palace,Brentford,0,0,False
Vörös Ördögök,Everton,2,0,False
Aston Oroszlán,West Ham,2,2,True
Brentford,Brighton,0,1,False
London Ágyúk,Wolverhampton,4,3,True
Newcastle,Chelsea,1,1,True
Manchester Kék,Tottenham,1,0,False
Fulham,Crystal Palace,0,0,False
Liverpool,Nottingham,3,1,True
Wolverhampton,Liverpool,0,2,False
Brighton,Vörös Ördögök,0,2,False
West Ham,Newcastle,1,1,True
Manchester Kék,Fulham,0,0,False
Everton,Crystal Palace,1,1,True
Nottingham,Brentford,0,2,False
Tottenham,Aston Oroszlán,1,1,True
Chelsea,London Ágyúk,2,2,True
Newcastle,Tottenham,0,2,False
Vörös Ördögök,Nottingham,2,1,True
Liverpool,Chelsea,2,0,False
Fulham,Everton,1,1,True
Aston Oroszlán,Manchester Kék,1,1,True
Brentford,Wolverhampton,0,3,False
Crystal Palace,Brighton,1,1,True
London Ágyúk,West Ham,3,0,False
Manchester Kék,Newcastle,3,1,True
Brighton,Everton,1,0,False
Nottingham,Crystal Palace,1,1,True
West Ham,Liverpool,1,0,False
Tottenham,London Ágyúk,0,1,False
Chelsea,Brentford,2,1,True
Aston Oroszlán,Fulham,2,1,True
Wolverhampton,Vörös Ördögök,2,2,True
Liverpool,Tottenham,4,1,True
Brentford,West Ham,2,0,False
London Ágyúk,Manchester Kék,2,4,True
Fulham,Brighton,2,1,True
Crystal Palace,Wolverhampton,2,0,False
Everton,Nottingham,1,1,True
Newcastle,Aston Oroszlán,4,0,False
Vörös Ördögök,Chelsea,0,3,False
Aston Oroszlán,London Ágyúk,1,2,True
Manchester Kék,Liverpool,2,1,True
Nottingham,Brighton,1,0,False
Chelsea,Crystal Palace,0,0,False
West Ham,Vörös Ördögök,1,1,True
Newcastle,Fulham,3,0,False
Wolverhampton,Everton,2,2,True
Tottenham,Brentford,2,1,True
Everton,Chelsea,2,2,True
Vörös Ördögök,Tottenham,1,1,True
Brighton,Wolverhampton,0,1,False
Fulham,Nottingham,0,1,False
London Ágyúk,Newcastle,2,0,False
Crystal Palace,West Ham,1,0,False
Liverpool,Aston Oroszlán,1,1,True
Brentford,Manchester Kék,1,1,True
London Ágyúk,Fulham,3,2,True
Manchester Kék,Vörös Ördögök,4,1,True
Aston Oroszlán,Brentford,1,0,False
Wolverhampton,Nottingham,3,0,False
Chelsea,Brighton,2,0,False
Tottenham,Crystal Palace,0,3,False
Newcastle,Liverpool,1,2,True
West Ham,Everton,1,4,True
Fulham,Wolverhampton,2,0,False
Brighton,West Ham,1,3,True
Brentford,Newcastle,2,1,True
Liverpool,London Ágyúk,2,1,True
Everton,Tottenham,1,1,True
Nottingham,Chelsea,0,0,False
Crystal Palace,Manchester Kék,0,1,False
Vörös Ördögök,Aston Oroszlán,1,1,True
London Ágyúk,Brentford,0,1,False
West Ham,Nottingham,2,0,False
Liverpool,Fulham,1,2,True
Newcastle,Vörös Ördögök,2,0,False
Manchester Kék,Everton,1,1,True
Chelsea,Wolverhampton,1,2,True
Aston Oroszlán,Crystal Palace,1,2,True
Tottenham,Brighton,2,2,True
Wolverhampton,West Ham,0,0,False
Nottingham,Tottenham,0,0,False
Fulham,Chelsea,2,2,True
Brighton,Manchester Kék,1,3,True
Vörös Ördögök,London Ágyúk,1,2,True
Everton,Aston Oroszlán,2,0,False
Brentford,Liverpool,2,1,True
Crystal Palace,Newcastle,1,1,True
Newcastle,Everton,1,2,True
Liverpool,Vörös Ördögök,3,0,False
London Ágyúk,Crystal Palace,0,0,False
West Ham,Chelsea,1,1,True
Aston Oroszlán,Brighton,2,1,True
Brentford,Fulham,0,0,False
Tottenham,Wolverhampton,4,2,True
Manchester Kék,Nottingham,3,2,True
Brighton,Newcastle,4,2,True
Fulham,West Ham,1,1,True
Chelsea,Tottenham,2,1,True
Vörös Ördögök,Brentford,4,1,True
Wolverhampton,Manchester Kék,0,2,False
Crystal Palace,Liverpool,1,4,True
Nottingham,Aston Oroszlán,1,1,True
Everton,London Ágyúk,2,0,False
Manchester Kék,Chelsea,1,0,False
Vörös Ördögök,Fulham,2,0,False
Newcastle,Nottingham,3,0,False
Liverpool,Everton,4,0,False
Tottenham,West Ham,3,1,True
Brentford,Crystal Palace,2,0,False
London Ágyúk,Brighton,2,1,True
Aston Oroszlán,Wolverhampton,3,0,False
Everton,Brentford,1,0,False
Wolverhampton,Newcastle,1,4,True
Nottingham,London Ágyúk,2,1,True
Chelsea,Aston Oroszlán,2,0,False
Crystal Palace,Vörös Ördögök,0,0,False
Fulham,Tottenham,1,2,True
West Ham,Manchester Kék,1,4,True
Brighton,Liverpool,2,1,True
Everton,Vörös Ördögök,2,1,True
West Ham,Aston Oroszlán,1,1,True
Brighton,Brentford,1,1,True
Wolverhampton,London Ágyúk,2,2,True
Chelsea,Newcastle,1,0,False
Tottenham,Manchester Kék,3,0,False
Crystal Palace,Fulham,0,0,False
Nottingham,Liverpool,0,2,False
Liverpool,Wolverhampton,2,1,True
Vörös Ördögök,Brighton,2,0,False
Newcastle,West Ham,2,0,False
Fulham,Manchester Kék,2,3,True
Crystal Palace,Everton,2,1,True
Brentford,Nottingham,3,0,False
Aston Oroszlán,Tottenham,2,2,True
London Ágyúk,Chelsea,0,3,False
Tottenham,Newcastle,2,1,True
Nottingham,Vörös Ördögök,1,0,False
Chelsea,Liverpool,1,0,False
Everton,Fulham,4,2,True
Manchester Kék,Aston Oroszlán,1,0,False
Wolverhampton,Brentford,2,1,True
Brighton,Crystal Palace,1,1,True
West Ham,London Ágyúk,1,0,False
Newcastle,Manchester Kék,1,3,True
Everton,Brighton,1,0,False
Crystal Palace,Nottingham,2,1,True
Liverpool,West Ham,2,3,True
London Ágyúk,Tottenham,2,3,True
Brentford,Chelsea,0,1,False
Fulham,Aston Oroszlán,1,1,True
Vörös Ördögök,Wolverhampton,1,0,False
Tottenham,Liverpool,1,3,True
West Ham,Brentford,0,2,False
Manchester Kék,London Ágyúk,2,0,False
Brighton,Fulham,3,1,True
Wolverhampton,Crystal Palace,2,1,True
Nottingham,Everton,2,0,False
Aston Oroszlán,Newcastle,0,1,False
Chelsea,Vörös Ördögök,1,1,True
London Ágyúk,Aston Oroszlán,2,0,False
Liverpool,Manchester Kék,2,2,True
Brighton,Nottingham,1,1,True
Crystal Palace,Chelsea,0,2,False
Vörös Ördögök,West Ham,3,0,False
Fulham,Newcastle,1,2,True
Everton,Wolverhampton,1,1,True
Brentford,Tottenham,0,1,False
Chelsea,Everton,1,0,False
Tottenham,Vörös Ördögök,1,0,False
Wolverhampton,Brighton,2,1,True
Nottingham,Fulham,1,2,True
Newcastle,London Ágyúk,0,1,False
West Ham,Crystal Palace,2,0,False
Aston Oroszlán,Liverpool,0,2,False
Manchester Kék,Brentford,4,0,False
Fulham,London Ágyúk,1,0,False
Vörös Ördögök,Manchester Kék,3,2,True
Brentford,Aston Oroszlán,2,2,True
Nottingham,Wolverhampton,0,2,False
Brighton,Chelsea,1,0,False
Crystal Palace,Tottenham,0,2,False
Liverpool,Newcastle,3,1,True
Everton,West Ham,1,0,False
Wolverhampton,Fulham,1,2,True
West Ham,Brighton,1,1,True
Newcastle,Brentford,2,0,False
London Ágyúk,Liverpool,2,2,True
Tottenham,Everton,2,1,True
Chelsea,Nottingham,3,0,False
Manchester Kék,Crystal Palace,3,1,True
Aston Oroszlán,Vörös Ördögök,1,2,True
Brentford,London Ágyúk,1,0,False
Nottingham,West Ham,0,0,False
Fulham,Liverpool,0,0,False
Vörös Ördögök,Newcastle,3,1,True
Everton,Manchester Kék,0,2,False
Wolverhampton,Chelsea,1,2,True
Crystal Palace,Aston Oroszlán,3,0,False
Brighton,Tottenham,1,2,True
West Ham,Wolverhampton,2,0,False
Tottenham,Nottingham,3,1,True
Chelsea,Fulham,4,0,False
Manchester Kék,Brighton,2,2,True
London Ágyúk,Vörös Ördögök,4,1,True
Aston Oroszlán,Everton,0,1,False
Liverpool,Brentford,2,1,True
Newcastle,Crystal Palace,1,0,False
Everton,Newcastle,2,0,False
Vörös Ördögök,Liverpool,1,3,True
Crystal Palace,London Ágyúk,1,1,True
Chelsea,West Ham,5,0,False
Brighton,Aston Oroszlán,1,0,False
Fulham,Brentford,2,2,True
Wolverhampton,Tottenham,3,1,True
Nottingham,Manchester Kék,1,3,True
Newcastle,Brighton,3,1,True
West Ham,Fulham,2,1,True
Tottenham,Chelsea,0,5,False
Brentford,Vörös Ördögök,5,2,True
Manchester Kék,Wolverhampton,1,1,True
Liverpool,Crystal Palace,2,2,True
Aston Oroszlán,Nottingham,0,0,False
London Ágyúk,Everton,1,2,True
Chelsea,Manchester Kék,2,1,True
Fulham,Vörös Ördögök,1,1,True
Nottingham,Newcastle,2,2,True
Everton,Liverpool,2,0,False
West Ham,Tottenham,1,0,False
Crystal Palace,Brentford,0,0,False
Brighton,London Ágyúk,1,2,True
Wolverhampton,Aston Oroszlán,0,1,False
Brentford,Everton,1,0,False
Newcastle,Wolverhampton,1,4,True
London Ágyúk,Nottingham,4,0,False
Aston Oroszlán,Chelsea,1,1,True
Vörös Ördögök,Crystal Palace,0,1,False
Tottenham,Fulham,2,1,True
Manchester Kék,West Ham,1,0,False
Liverpool,Brighton,0,0,False
Newcastle,Aston Oroszlán,1,0,False
Fulham,Wolverhampton,0,1,False
Vörös Ördögök,Brentford,2,1,True
Nottingham,Tottenham,1,1,True
Liverpool,West Ham,2,2,True
Chelsea,Crystal Palace,2,0,False
Everton,London Ágyúk,1,2,True
Manchester Kék,Brighton,1,1,True
Tottenham,Manchester Kék,2,3,True
Brentford,Newcastle,0,0,False
Wolverhampton,Liverpool,3,0,False
Chelsea,Everton,3,0,False
Aston Oroszlán,London Ágyúk,0,2,False
Brighton,Vörös Ördögök,2,1,True
Crystal Palace,Fulham,2,0,False
West Ham,Nottingham,1,1,True
Liverpool,Crystal Palace,5,0,False
Newcastle,Brighton,0,0,False
Manchester Kék,West Ham,1,3,True
Everton,Aston Oroszlán,3,0,False
Fulham,Chelsea,4,1,True
Vörös Ördögök,Tottenham,0,3,False
London Ágyúk,Brentford,2,0,False
Nottingham,Wolverhampton,1,0,False
Chelsea,Liverpool,1,3,True
Brentford,Aston Oroszlán,0,1,False
Brighton,London Ágyúk,2,2,True
Wolverhampton,Manchester Kék,0,4,False
Crystal Palace,Nottingham,2,2,True
West Ham,Vörös Ördögök,2,0,False
Fulham,Everton,1,2,True
Tottenham,Newcastle,3,0,False
Manchester Kék,Crystal Palace,1,2,True
Vörös Ördögök,Wolverhampton,5,0,False
Nottingham,Chelsea,0,0,False
Everton,Brentford,2,3,True
London Ágyúk,Tottenham,1,1,True
Aston Oroszlán,Brighton,1,2,True
Liverpool,Fulham,3,1,True
Newcastle,West Ham,2,1,True
Fulham,Nottingham,2,2,True
Chelsea,Manchester Kék,4,1,True
Brighton,Brentford,1,2,True
West Ham,London Ágyúk,1,0,False
Wolverhampton,Newcastle,1,5,True
Liverpool,Everton,3,1,True
Tottenham,Aston Oroszlán,1,1,True
Crystal Palace,Vörös Ördögök,0,3,False
Aston Oroszlán,West Ham,1,2,True
Newcastle,Crystal Palace,0,0,False
Brentford,Tottenham,2,0,False
Everton,Brighton,1,0,False
Nottingham,Liverpool,3,2,True
London Ágyúk,Wolverhampton,1,1,True
Manchester Kék,Fulham,3,0,False
Vörös Ördögök,Chelsea,2,0,False
Nottingham,Everton,0,1,False
Chelsea,Newcastle,1,2,True
Fulham,Vörös Ördögök,0,2,False
Tottenham,Brighton,2,1,True
West Ham,Brentford,1,2,True
Crystal Palace,London Ágyúk,0,2,False
Liverpool,Manchester Kék,5,2,True
Wolverhampton,Aston Oroszlán,0,2,False
Everton,Tottenham,1,1,True
Brentford,Wolverhampton,0,2,False
Vörös Ördögök,Liverpool,5,2,True
Manchester Kék,Nottingham,5,0,False
Aston Oroszlán,Crystal Palace,1,0,False
Brighton,West Ham,2,1,True
London Ágyúk,Chelsea,4,1,True
Newcastle,Fulham,0,1,False
Nottingham,Vörös Ördögök,2,2,True
Wolverhampton,Brighton,0,2,False
Manchester Kék,Everton,1,1,True
Liverpool,Newcastle,1,1,True
Chelsea,Aston Oroszlán,1,0,False
West Ham,Tottenham,2,1,True
Fulham,London Ágyúk,0,2,False
Crystal Palace,Brentford,0,1,False
Tottenham,Wolverhampton,2,0,False
Brighton,Crystal Palace,2,2,True
Everton,West Ham,2,1,True
Brentford,Chelsea,2,1,True
Newcastle,Nottingham,1,2,True
Aston Oroszlán,Fulham,1,2,True
Vörös Ördögök,Manchester Kék,0,3,False
London Ágyúk,Liverpool,0,1,False
Liverpool,Aston Oroszlán,1,0,False
Manchester Kék,Newcastle,4,0,False
Nottingham,London Ágyúk,1,2,True
Wolverhampton,West Ham,1,0,False
Fulham,Brentford,1,0,False
Vörös Ördögök,Everton,2,1,True
Crystal Palace,Tottenham,0,4,False
Chelsea,Brighton,1,0,False
Brentford,Liverpool,3,1,True
Everton,Wolverhampton,3,0,False
West Ham,Crystal Palace,0,2,False
Newcastle,Vörös Ördögök,3,2,True
Tottenham,Chelsea,1,2,True
London Ágyúk,Manchester Kék,1,0,False
Brighton,Fulham,4,0,False
Aston Oroszlán,Nottingham,1,1,True
Chelsea,West Ham,3,2,True
Newcastle,Everton,0,1,False
Liverpool,Brighton,3,0,False
Manchester Kék,Aston Oroszlán,3,0,False
Crystal Palace,Wolverhampton,0,0,False
Vörös Ördögök,London Ágyúk,0,2,False
Nottingham,Brentford,0,1,False
Fulham,Tottenham,1,3,True
Aston Oroszlán,Vörös Ördögök,0,4,False
Tottenham,Liverpool,3,1,True
Brighton,Nottingham,3,2,True
West Ham,Fulham,0,0,False
London Ágyúk,Newcastle,3,2,True
Everton,Crystal Palace,1,0,False
Wolverhampton,Chelsea,0,3,False
Brentford,Manchester Kék,1,2,True
Aston Oroszlán,Newcastle,4,0,False
Wolverhampton,Fulham,1,0,False
Brentford,Vörös Ördögök,3,1,True
Tottenham,Nottingham,0,3,False
West Ham,Liverpool,1,1,True
Crystal Palace,Chelsea,0,1,False
London Ágyúk,Everton,0,3,False
Brighton,Manchester Kék,1,1,True
Manchester Kék,Tottenham,1,1,True
Newcastle,Brentford,0,1,False
Liverpool,Wolverhampton,2,1,True
Everton,Chelsea,0,2,False
London Ágyúk,Aston Oroszlán,2,1,True
Vörös Ördögök,Brighton,4,0,False
Fulham,Crystal Palace,2,1,True
Nottingham,West Ham,0,0,False
Crystal Palace,Liverpool,1,1,True
Brighton,Newcastle,1,1,True
West Ham,Manchester Kék,0,0,False
Aston Oroszlán,Everton,1,2,True
Chelsea,Fulham,4,0,False
Tottenham,Vörös Ördögök,2,1,True
Brentford,London Ágyúk,1,2,True
Wolverhampton,Nottingham,0,0,False
Liverpool,Chelsea,0,1,False
Aston Oroszlán,Brentford,0,0,False
London Ágyúk,Brighton,2,2,True
Manchester Kék,Wolverhampton,1,1,True
Nottingham,Crystal Palace,1,0,False
Vörös Ördögök,West Ham,3,0,False
Everton,Fulham,1,1,True
Newcastle,Tottenham,2,1,True
Crystal Palace,Manchester Kék,1,2,True
Wolverhampton,Vörös Ördögök,2,0,False
Chelsea,Nottingham,2,2,True
Brentford,Everton,0,2,False
Tottenham,London Ágyúk,1,2,True
Brighton,Aston Oroszlán,0,3,False
Fulham,Liverpool,2,1,True
West Ham,Newcastle,2,1,True
Nottingham,Fulham,0,0,False
Manchester Kék,Chelsea,0,1,False
Brentford,Brighton,2,1,True
London Ágyúk,West Ham,1,0,False
Newcastle,Wolverhampton,2,1,True
Everton,Liverpool,2,1,True
Aston Oroszlán,Tottenham,1,1,True
Vörös Ördögök,Crystal Palace,4,0,False
West Ham,Aston Oroszlán,2,1,True
Crystal Palace,Newcastle,0,1,False
Tottenham,Brentford,2,0,False
Brighton,Everton,1,1,True
Liverpool,Nottingham,2,0,False
Wolverhampton,London Ágyúk,1,2,True
Fulham,Manchester Kék,1,2,True
Chelsea,Vörös Ördögök,3,0,False
Everton,Nottingham,1,1,True
Newcastle,Chelsea,0,0,False
Vörös Ördögök,Fulham,2,0,False
Brighton,Tottenham,0,2,False
Brentford,West Ham,1,0,False
London Ágyúk,Crystal Palace,1,1,True
Manchester Kék,Liverpool,2,0,False
Aston Oroszlán,Wolverhampton,1,3,True
Tottenham,Everton,4,1,True
Wolverhampton,Brentford,1,2,True
Liverpool,Vörös Ördögök,0,1,False
Nottingham,Manchester Kék,0,3,False
Crystal Palace,Aston Oroszlán,1,1,True
West Ham,Brighton,1,0,False
Chelsea,London Ágyúk,3,3,True
Fulham,Newcastle,2,0,False
Vörös Ördögök,Nottingham,4,1,True
Brighton,Wolverhampton,3,1,True
Everton,Manchester Kék,1,1,True
Newcastle,Liverpool,2,1,True
Aston Oroszlán,Chelsea,1,3,True
Tottenham,West Ham,4,0,False
London Ágyúk,Fulham,1,1,True
Brentford,Crystal Palace,2,0,False
Wolverhampton,Tottenham,3,1,True
Crystal Palace,Brighton,1,0,False
West Ham,Everton,0,2,False
Chelsea,Brentford,0,0,False
Nottingham,Newcastle,1,1,True
Fulham,Aston Oroszlán,1,3,True
Manchester Kék,Vörös Ördögök,1,4,True
Liverpool,London Ágyúk,2,1,True
Aston Oroszlán,Liverpool,0,0,False
Newcastle,Manchester Kék,6,0,False
London Ágyúk,Nottingham,1,0,False
West Ham,Wolverhampton,3,1,True
Brentford,Fulham,1,1,True
Everton,Vörös Ördögök,3,1,True
Tottenham,Crystal Palace,1,1,True
Brighton,Chelsea,1,2,True
Liverpool,Brentford,1,0,False
Wolverhampton,Everton,2,3,True
Crystal Palace,West Ham,0,1,False
Vörös Ördögök,Newcastle,1,1,True
Chelsea,Tottenham,0,1,False
Manchester Kék,London Ágyúk,2,0,False
Fulham,Brighton,2,3,True
Nottingham,Aston Oroszlán,2,1,True
West Ham,Chelsea,0,1,False
Everton,Newcastle,1,0,False
Brighton,Liverpool,1,0,False
Aston Oroszlán,Manchester Kék,0,2,False
Wolverhampton,Crystal Palace,3,0,False
London Ágyúk,Vörös Ördögök,2,1,True
Brentford,Nottingham,1,1,True
Tottenham,Fulham,2,1,True
Vörös Ördögök,Aston Oroszlán,3,0,False
Liverpool,Tottenham,1,0,False
Nottingham,Brighton,1,0,False
Fulham,West Ham,2,3,True
Newcastle,London Ágyúk,2,2,True
Crystal Palace,Everton,0,1,False
Chelsea,Wolverhampton,1,2,True
Manchester Kék,Brentford,1,2,True
Fulham,Aston Oroszlán,1,0,False
Manchester Kék,London Ágyúk,2,0,False
Vörös Ördögök,Crystal Palace,1,1,True
Wolverhampton,Chelsea,1,1,True
West Ham,Nottingham,6,0,False
Everton,Brentford,1,0,False
Newcastle,Liverpool,1,0,False
Brighton,Tottenham,0,1,False
Chelsea,Brighton,4,0,False
Crystal Palace,Fulham,2,1,True
London Ágyúk,West Ham,2,1,True
Everton,Newcastle,0,4,False
Aston Oroszlán,Liverpool,1,2,True
Tottenham,Vörös Ördögök,1,0,False
Brentford,Manchester Kék,0,0,False
Nottingham,Wolverhampton,1,3,True
West Ham,Brentford,0,3,False
Fulham,Tottenham,2,1,True
Brighton,Nottingham,1,0,False
Newcastle,Aston Oroszlán,0,2,False
Manchester Kék,Everton,1,0,False
Vörös Ördögök,Chelsea,0,2,False
Liverpool,Crystal Palace,0,2,False
Wolverhampton,London Ágyúk,0,1,False
Everton,West Ham,1,1,True
Crystal Palace,Aston Oroszlán,1,0,False
Tottenham,Liverpool,2,1,True
London Ágyúk,Brighton,2,0,False
Brentford,Wolverhampton,1,1,True
Nottingham,Vörös Ördögök,1,0,False
Manchester Kék,Newcastle,3,0,False
Chelsea,Fulham,3,0,False
Brighton,Brentford,0,4,False
Vörös Ördögök,London Ágyúk,2,1,True
Wolverhampton,Everton,1,2,True
Newcastle,Crystal Palace,1,0,False
Liverpool,Chelsea,3,0,False
Aston Oroszlán,Tottenham,1,2,True
West Ham,Manchester Kék,3,0,False
Fulham,Nottingham,1,1,True
Manchester Kék,Wolverhampton,1,0,False
Everton,Brighton,0,0,False
Tottenham,Crystal Palace,4,0,False
Nottingham,Liverpool,1,2,True
London Ágyúk,Fulham,3,0,False
West Ham,Newcastle,2,1,True
Chelsea,Aston Oroszlán,2,0,False
Brentford,Vörös Ördögök,2,2,True
Aston Oroszlán,Nottingham,4,0,False
Fulham,Brentford,0,1,False
Crystal Palace,Chelsea,1,1,True
Newcastle,Tottenham,1,4,True
Wolverhampton,West Ham,2,1,True
Liverpool,London Ágyúk,1,0,False
Brighton,Manchester Kék,0,3,False
Vörös Ördögök,Everton,3,1,True
Wolverhampton,Newcastle,3,1,True
Everton,Fulham,2,0,False
Manchester Kék,Vörös Ördögök,4,2,True
Chelsea,Tottenham,2,2,True
Nottingham,Crystal Palace,1,0,False
Brentford,Liverpool,2,1,True
West Ham,Brighton,1,1,True
London Ágyúk,Aston Oroszlán,4,0,False
Newcastle,Chelsea,2,2,True
Crystal Palace,London Ágyúk,0,1,False
Vörös Ördögök,West Ham,0,1,False
Brighton,Wolverhampton,1,2,True
Aston Oroszlán,Brentford,0,1,False
Tottenham,Nottingham,3,0,False
Liverpool,Everton,2,0,False
Fulham,Manchester Kék,2,2,True
Wolverhampton,Vörös Ördögök,1,2,True
London Ágyúk,Tottenham,1,0,False
Brighton,Newcastle,0,4,False
West Ham,Fulham,0,1,False
Everton,Aston Oroszlán,1,0,False
Nottingham,Chelsea,1,0,False
Manchester Kék,Liverpool,2,0,False
Brentford,Crystal Palace,2,0,False
Chelsea,London Ágyúk,2,0,False
Tottenham,Brentford,1,1,True
Newcastle,Nottingham,0,2,False
Crystal Palace,Everton,1,1,True
Fulham,Wolverhampton,1,2,True
Aston Oroszlán,Manchester Kék,1,2,True
Vörös Ördögök,Brighton,4,1,True
Liverpool,West Ham,3,2,True
West Ham,Aston Oroszlán,1,0,False
Brighton,Fulham,1,1,True
Wolverhampton,Liverpool,3,0,False
London Ágyúk,Nottingham,5,1,True
Manchester Kék,Crystal Palace,2,0,False
Vörös Ördögök,Newcastle,1,2,True
Brentford,Chelsea,1,3,True
Everton,Tottenham,2,1,True
Crystal Palace,West Ham,0,2,False
Newcastle,London Ágyúk,0,5,False
Nottingham,Brentford,0,4,False
Fulham,Vörös Ördögök,1,2,True
Chelsea,Everton,3,1,True
Liverpool,Brighton,1,1,True
Tottenham,Manchester Kék,0,3,False
Aston Oroszlán,Wolverhampton,1,2,True
Everton,Nottingham,2,0,False
Fulham,Newcastle,1,0,False
West Ham,Tottenham,0,3,False
Brighton,Aston Oroszlán,0,0,False
Brentford,London Ágyúk,1,1,True
Vörös Ördögök,Liverpool,1,4,True
Wolverhampton,Crystal Palace,1,1,True
Manchester Kék,Chelsea,3,3,True
Aston Oroszlán,Vörös Ördögök,0,2,False
Chelsea,West Ham,1,1,True
Tottenham,Wolverhampton,1,0,False
Nottingham,Manchester Kék,3,2,True
Liverpool,Fulham,0,2,False
Newcastle,Brentford,0,3,False
London Ágyúk,Everton,0,0,False
Crystal Palace,Brighton,1,1,True
Aston Oroszlán,Fulham,0,0,False
London Ágyúk,Manchester Kék,0,0,False
Crystal Palace,Vörös Ördögök,0,4,False
